id,Price,DepartureCountry,DestinationCountry,DepartureDate,DepartureAirport,ArrivalAirport,FlightClass
51,92,Brazil,Argentina,11/11/2025,ZSW,QAC,3
52,98,India,Germany,11/25/2025,NZA,PGV,2
53,90,South Korea,Japan,11/27/2025,YYT,JGS,2
54,41,Japan,UAE,5/18/2025,MTC,OKB,1
55,91,New Zealand,Australia,10/30/2025,DLD,NAM,3
56,22,Thailand,China,11/14/2025,STW,SKE,3
57,59,Spain,France,9/1/2025,EGE,BEY,2
58,13,Ethiopia,Qatar,11/2/2025,EMI,HEA,3
59,9,Canada,USA,9/21/2025,PKC,ATN,2
60,40,USA,USA,9/22/2025,ABC,ILP,1
61,49,USA,USA,5/18/2025,SGZ,WEM,1
62,56,Colombia,USA,10/4/2025,GEB,URY,2
63,40,South Korea,Japan,6/25/2025,VAC,EGI,1
64,83,India,India,5/22/2025,SXG,AQA,3
65,64,USA,USA,10/10/2025,DRV,FYM,3
66,84,Thailand,Singapore,8/12/2025,BNN,BPF,1
67,18,Canada,USA,11/27/2025,SKU,PYE,3
68,52,Italy,France,10/12/2025,ELR,VIV,1
69,84,New Zealand,France,5/31/2025,MBA,DOR,2
70,57,Qatar,Ethiopia,8/30/2025,RZN,LEL,3
71,81,France,USA,7/12/2025,CTC,PWA,1
72,12,USA,USA,7/8/2025,BCH,KBH,1
73,33,Thailand,Singapore,7/12/2025,KUU,ICC,2
74,82,Spain,France,5/14/2025,ZIG,YKS,3
75,29,Germany,France,5/22/2025,ERN,POS,3
76,78,China,Singapore,10/24/2025,OMD,TZC,2
77,16,USA,USA,5/16/2025,CXO,HMB,2
78,34,USA,USA,11/3/2025,AMV,ONJ,1
79,22,Spain,Austria,11/1/2025,AMU,PHN,2
80,16,China,Malaysia,8/7/2025,NDJ,OSW,3
81,1,Japan,South Korea,10/5/2025,KTV,MTA,3
82,18,Colombia,USA,7/18/2025,DNU,MLX,2
83,28,Mexico,USA,5/23/2025,ESK,KEG,2
84,56,USA,USA,11/2/2025,PKP,AFL,2
85,47,Brazil,Argentina,6/16/2025,KXU,ISL,2
86,86,Mexico,USA,9/13/2025,ZVA,RJK,3
87,44,Ethiopia,Qatar,10/11/2025,HDF,THI,2
88,83,Brazil,Argentina,11/13/2025,DNS,VCP,1
89,22,Mexico,USA,5/9/2025,PVA,IXA,3
90,25,Canada,USA,8/17/2025,TLY,APZ,2
91,56,Singapore,China,9/7/2025,SNX,IBO,3
92,57,Canada,USA,5/13/2025,CYT,PSZ,3
93,10,Qatar,Ethiopia,11/27/2025,YZY,EBA,3
94,84,USA,USA,8/31/2025,SQW,VCR,2
95,15,India,India,6/29/2025,HLG,KTB,1
96,28,South Korea,Japan,8/21/2025,KAA,VDM,3
97,57,Netherlands,Canada,6/9/2025,DBM,ASL,3
98,45,Australia,USA,7/23/2025,LEY,AHM,3
99,27,Netherlands,France,6/21/2025,PRS,YAC,1
100,22,Brazil,Argentina,9/5/2025,NTL,CYS,1
